Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
BMW,M4,2022,3,473,406,4.1,71800.00
Ford,GT,2021,3.5,660,550,2.9,500000.00
Maserati,GranTurismo,2021,4.7,454,384,4.7,150980.00
McLaren,600LT,2021,3.8,592,457,2.8,256500.00
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.6,254995.00
Nissan,370Z,2021,3.7,332,270,5.2,30000.00
Audi,RS 7,2021,4,591,590,3.4,114000.00
Bentley,Continental GT,2021,4,542,568,3.9,220000.00
Bugatti,Chiron,2021,8,"1,500","1,180",2.4,3000000.00
Porsche,Cayman,2022,2,300,280,4.5,59900.00
Aston Martin,Vantage,2021,4,503,505,3.5,147000.00
Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,67150.00
Audi,RS 5,2022,2.9,444,443,3.5,75100.00
BMW,M2,2022,3,405,406,4,58900.00
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,60695.00
Ferrari,F8 Spider,2022,3.9,710,568,2.9,274390.00
Jaguar,F-Type,2021,3,296,295,5.4,64700.00
Lamborghini,Aventador,2021,6.5,759,531,2.9,517770.00
Lexus,LC 500,2022,5,471,398,4.4,92950.00
Lotus,Evora GT,2021,3.5,416,317,3.8,99990.00
Maserati,GranTurismo,2021,4.7,454,384,4.7,150800.00
McLaren,GT,2021,4,612,465,3.1,210000.00
Mercedes-Benz,AMG C 63,2021,4,469,479,3.8,67600.00
Nissan,370Z Nismo,2021,3.7,350,276,4.5,45790.00
Porsche,Panamera,2022,2.9,325,331,5.3,88800.00
Subaru,WRX STI,2021,2.5,310,290,5.2,38170.00
Tesla,Roadster,2022,N/A,"10,000+",N/A,1.9,200000.00
Porsche,718 Cayman,2022,2,300,280,4.9,61500.00
Lamborghini,Aventador,2021,6.5,729,509,2.9,393695.00
Ferrari,SF90 Stradale,2022,4,986,590,2.5,625000.00
Audi,RS5 Coupe,2022,2.9,444,443,3.5,76350.00
McLaren,570S,2021,3.8,562,443,3.1,202000.00
BMW,M2,2022,3,405,406,4,58900.00
Mercedes-Benz,SL,2022,3,429,384,4.4,96000.00
Chevrolet,Camaro,2021,6.2,455,455,4,25000.00
Ford,GT,2022,3.5,660,550,2.8,500000.00
Nissan,370Z,2021,3.7,332,270,5.3,33000.00
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,75250.00
Aston Martin,DB11,2022,4,630,516,3.7,201495.00
Bentley,Continental GT,2021,6,626,664,3.3,201000.00
Dodge,Challenger,2021,6.4,485,475,3.8,62000.00
Jaguar,F-Type R,2022,5,575,516,3.5,103200.00
Lexus,LC 500,2022,5,471,398,4.4,92950.00
Lotus,Evora GT,2021,3.5,416,317,3.8,99000.00
Maserati,GranTurismo,2021,4.7,454,384,4.7,150000.00
Porsche,Cayman GT4,2021,4,414,309,4.2,102500.00
Aston Martin,Vantage,2022,4,503,505,3.5,149995.00
Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.5,78595.00
Audi,RS 7,2021,4,591,590,3.5,114000.00
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,37500.00
Ford,Mustang GT,2022,5,460,420,4,38500.00
Jaguar,F-Type R,2022,5,575,516,3.5,103200.00
Lexus,LC 500,2022,5,471,398,4.4,92950.00
McLaren,570S,2021,3.8,562,443,3.1,208800.00
Mercedes-Benz,AMG C63,2022,4,469,479,3.8,71450.00
Nissan,370Z Nismo,2021,3.7,350,276,4.9,47820.00
Porsche,Panamera GTS,2021,4,473,457,3.9,134150.00
Audi,TT RS,2022,2.5,394,354,3.6,67600.00
BMW,M4,2021,3,473,406,3.8,71800.00
Ferrari,F8 Tributo,2021,3.9,710,568,2.8,274280.00
Lamborghini,Aventador,2021,6.5,770,531,2.9,393695.00
McLaren,GT,2021,4,612,465,3.1,250000.00
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4,630,664,3.1,171200.00
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,321000.00
Lotus,Evora GT,2021,3.5,416,317,3.8,100500.00
Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,185000.00
McLaren,570S,2021,3.8,562,443,3.1,195000.00
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,517770.00
Ford,GT,2021,3.5,660,550,3,500000.00
Audi,RS7 Sportback,2022,4,591,590,3.5,114000.00
BMW,M4,2022,3,473,406,4.1,72800.00
Mercedes-AMG,C63 S,2022,4,503,516,3.7,78100.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,63000.00
Dodge,Charger Hellcat,2021,6.2,717,650,3.6,70000.00
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,78450.00
Tesla,Model S Plaid,2022,Electric,"1,020","1,050",1.9,141190.00
Ferrari,SF90 Stradale,2021,4,986,590,2.5,625000.00
Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid,689,642,3,190000.00
McLaren,Artura,2022,3,671,531,3,225000.00
Lamborghini,Urus,2021,4,641,627,3.6,222000.00
Ford,Mustang Mach 1,2021,5,480,420,4,52915.00
Porsche,911,2022,3,379,331,4,101200.00
Lamborghini,Huracan,2021,5.2,630,443,2.8,274390.00
Ferrari,488 GTB,2022,3.9,661,561,3,333750.00
Audi,R8,2022,5.2,562,406,3.2,142700.00
McLaren,720S,2021,4,710,568,2.7,298000.00
BMW,M8,2022,4.4,617,553,3.1,130000.00
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,118500.00
Chevrolet,Corvette,2021,6.2,490,465,2.8,59900.00
Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,81000.00
Nissan,GT-R Nismo,2021,3.8,600,481,2.5,212000.00
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,64195.00
Aston Martin,Vantage,2021,4,503,505,3.6,147000.00
Bugatti,Chiron,2022,8,1500,1180,2.5,3900000.00
Koenigsegg,Jesko,2022,5,1280,1015,2.5,3000000.00
Pagani,Huayra,2021,6,764,740,2.8,2600000.00
Rimac,Nevera,2022,Electric,1914,1696,1.85,2400000.00
Lotus,Evija,2022,Electric,1973,1254,2.5,2000000.00
Pininfarina,Battista,2021,Electric,1872,1696,1.9,2500000.00
Maserati,MC20,2021,3,621,538,2.9,210000.00
Porsche,Cayman,2021,2,300,280,5.1,59900.00
Lamborghini,Aventador,2021,6.5,730,509,2.9,393695.00
Ferrari,SF90 Stradale,2021,4,986,590,2.5,625000.00
Audi,RS 5,2021,2.9,444,443,3.5,75100.00
McLaren,GT,2022,4,612,465,3.1,210000.00
BMW,M2,2021,3,405,406,4,58900.00
Mercedes-Benz,SLS AMG,2021,6.3,622,468,3.6,254500.00
Chevrolet,Camaro,2021,6.2,455,455,4,25000.00
Ford,Mustang,2021,2.3,310,350,5.3,27205.00
Nissan,370Z,2021,3.7,332,270,5.1,30090.00
Aston Martin,Vantage,2021,4,503,505,3.6,146000.00
Bugatti,Chiron,2021,8,1479,1180,2.4,3000000.00
Koenigsegg,Jesko,2022,5,1280,1106,2.5,3000000.00
Lotus,Evija,2021,Electric Motor,1972,1254,2,2000000.00
McLaren,Senna,2021,4,789,590,2.7,1000000.00
Pagani,Huayra,2021,6,764,738,3,2600000.00
Rimac,Nevera,2021,Electric Motor,1888,1696,1.85,2400000.00
